player_api_id,player_name,team_api_id,team_fifa_api_id,team_name,team_long_name,Country,League,season,PiyasaDegeri
114737,Marwin Hitz,8406,100409,FC Augsburg,FC Augsburg,Germany,Germany 1. Bundesliga,2015/2016,4500000
240236,Massadio Haidara,10261,13,Newcastle United,Newcastle United,England,England Premier League,2015/2016,1500000
74382,Massimiliano Carlini,9891,111657,Frosinone,Frosinone,Italy,Italy Serie A,2015/2016,400000
150389,Massimo Coda,10167,50,Parma,Parma,Italy,Italy Serie A,2014/2015,1400000
33816,Massimo Gobbi,8533,192,Chievo Verona,Chievo Verona,Italy,Italy Serie A,2015/2016,200000
30284,Massimo Maccarone,8534,1746,Empoli,Empoli,Italy,Italy Serie A,2015/2016,500000
96646,Massimo Volta,9880,110915,Cesena,Cesena,Italy,Italy Serie A,2014/2015,1000000
41458,Massimo Zenildo Zappino,9891,111657,Frosinone,Frosinone,Italy,Italy Serie A,2015/2016,100000
108401,Mate Jajalo,8540,1843,Palermo,Palermo,Italy,Italy Serie A,2015/2016,1300000
239219,Mateo Kovacic,8633,243,Real Madrid CF,Real Madrid CF,Spain,Spain LIGA BBVA,2015/2016,20000000
113672,Mateo Pablo Musacchio,10205,483,Villarreal CF,Villarreal CF,Spain,Spain LIGA BBVA,2015/2016,15000000
114651,Mateus,158085,112513,FC Arouca,FC Arouca,Portugal,Portugal Liga ZON Sagres,2015/2016,750000
618737,Mateusz Abramowicz,8025,111092,Śląsk Wrocław,Śląsk Wrocław,Poland,Poland Ekstraklasa,2015/2016,100000
69004,Mateusz Bak,8030,111091,Lechia Gdańsk,Lechia Gdańsk,Poland,Poland Ekstraklasa,2014/2015,100000
92222,Mateusz Cetnarski,2186,110747,Cracovia,Cracovia,Poland,Poland Ekstraklasa,2015/2016,900000
433627,Mateusz Cichocki,1601,874,Ruch Chorzów,Ruch Chorzów,Poland,Poland Ekstraklasa,2015/2016,150000
208295,Mateusz Kupczak,177361,2000005,Termalica Bruk-Bet Nieciecza,Termalica Bruk-Bet Nieciecza,Poland,Poland Ekstraklasa,2015/2016,250000
275726,Mateusz Lewandowski,8023,110746,Pogoń Szczecin,Pogoń Szczecin,Poland,Poland Ekstraklasa,2015/2016,250000
155638,Mateusz Machaj,8025,111092,Śląsk Wrocław,Śląsk Wrocław,Poland,Poland Ekstraklasa,2015/2016,150000
275735,Mateusz Mak,8028,111086,Piast Gliwice,Piast Gliwice,Poland,Poland Ekstraklasa,2015/2016,600000
208388,Mateusz Matras,8023,110746,Pogoń Szczecin,Pogoń Szczecin,Poland,Poland Ekstraklasa,2015/2016,400000
186968,Mateusz Mozdzen,8033,111087,Podbeskidzie Bielsko-Biała,Podbeskidzie Bielsko-Biała,Poland,Poland Ekstraklasa,2015/2016,300000
173385,Mateusz Piatkowski,1957,110745,Jagiellonia Białystok,Jagiellonia Białystok,Poland,Poland Ekstraklasa,2014/2015,200000
248457,Mateusz Szczepaniak,8033,111087,Podbeskidzie Bielsko-Biała,Podbeskidzie Bielsko-Biała,Poland,Poland Ekstraklasa,2015/2016,500000
309869,Mateusz Szwoch,8673,1871,Legia Warszawa,Legia Warszawa,Poland,Poland Ekstraklasa,2014/2015,250000
502539,Mateusz Wdowiak,2186,110747,Cracovia,Cracovia,Poland,Poland Ekstraklasa,2015/2016,250000
555646,Mateusz Wieteska,8673,1871,Legia Warszawa,Legia Warszawa,Poland,Poland Ekstraklasa,2014/2015,125000
254289,Mateusz Zachara,8020,2000002,Polonia Bytom,Polonia Bytom,Poland,Poland Ekstraklasa,2014/2015,400000
