height (cm),weight (kg),Age,en_guncel_kayit,matches_played,position_confidence,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,gk_score,defense_score,attack_score,midfield_score,goals,assists,yellow_cards,red_cards,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,position_CAM,position_CB,position_CM,position_GK,position_LAM,position_LB,position_LCB,position_LCM,position_LF,position_LM,position_LST,position_LW,position_LWB,position_RAM,position_RB,position_RCB,position_RCM,position_RF,position_RM,position_RST,position_RW,position_RWB,position_SS,position_ST,buildUpPlaySpeedClass_Balanced,buildUpPlaySpeedClass_Fast,buildUpPlaySpeedClass_Slow,buildUpPlayDribblingClass_Little,buildUpPlayDribblingClass_Lots,buildUpPlayDribblingClass_Normal,buildUpPlayPassingClass_Long,buildUpPlayPassingClass_Mixed,buildUpPlayPassingClass_Short,buildUpPlayPositioningClass_Free Form,buildUpPlayPositioningClass_Organised,chanceCreationPassingClass_Normal,chanceCreationPassingClass_Risky,chanceCreationPassingClass_Safe,chanceCreationCrossingClass_Little,chanceCreationCrossingClass_Lots,chanceCreationCrossingClass_Normal,chanceCreationShootingClass_Little,chanceCreationShootingClass_Lots,chanceCreationShootingClass_Normal,chanceCreationPositioningClass_Free Form,chanceCreationPositioningClass_Organised,defencePressureClass_Deep,defencePressureClass_High,defencePressureClass_Medium,defenceAggressionClass_Contain,defenceAggressionClass_Double,defenceAggressionClass_Press,defenceTeamWidthClass_Narrow,defenceTeamWidthClass_Normal,defenceTeamWidthClass_Wide,defenceDefenderLineClass_Cover,defenceDefenderLineClass_Offside Trap,Age_Squared,Is_Over_30,Gelisim_Farki,Age_Group_U21,Age_Group_Peak_22_27,Age_Group_Deneyimli_28_32,Age_Group_Veteran_33_Plus,Age_Decay_Factor,Age_Decay_Adjusted_Rating
191,86,33,2016,9,2,68.0,69.0,25,25.0,25,31,25,25.0,25,25,32,22.0,45,45,48,67,32,32,72,30,64,25,38,23,25,25,30,25,25,25,69,65,59,71,71,67,25,27,28,0,0,0,0,66,31,41,53,44,66,39,49,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1089,1,1.0,0,0,0,1,0.76,51.68
188,86,22,2016,4,1,68.0,74.0,45,29.0,68,61,30,36.0,32,35,58,57.0,53,59,53,65,48,54,63,64,81,31,68,64,35,47,42,69,71,68,15,9,16,10,12,12,68,37,56,0,0,0,0,52,46,51,60,53,47,53,50,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,484,0,6.0,0,1,0,0,1.0,68.0
188,74,24,2015,1,0,67.0,73.0,21,19.0,21,26,22,19.0,21,19,22,23.0,31,33,22,64,32,25,58,34,42,18,19,18,18,32,22,19,19,18,70,61,55,66,77,66,19,21,25,0,0,0,0,36,56,38,49,52,29,50,51,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,576,0,6.0,0,1,0,0,1.0,67.0
185,71,33,2015,25,4,64.0,64.0,63,52.0,53,67,61,62.0,62,56,64,65.0,65,70,70,69,55,68,47,72,67,49,77,62,61,68,47,51,56,50,10,15,7,6,14,10,55,61,66,0,0,0,0,64,46,55,44,45,27,37,44,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1089,1,0.0,0,0,0,1,0.76,48.64
178,73,29,2016,17,3,69.0,69.0,65,66.0,52,67,69,73.0,79,74,73,77.0,66,69,73,68,54,68,62,65,60,67,56,59,61,71,52,49,52,54,12,8,14,7,9,10,54,66,72,0,0,4,0,53,41,69,48,45,43,29,41,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,841,0,0.0,0,0,1,0,0.92,63.48
183,77,29,2016,24,3,60.0,61.0,25,27.0,56,40,32,44.0,25,27,37,46.0,68,66,47,51,58,34,70,62,70,20,60,56,29,34,37,63,65,67,11,9,6,8,8,8,63,31,39,0,0,0,0,41,40,59,41,44,54,52,47,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,841,0,1.0,0,0,1,0,0.92,55.2
183,76,25,2016,7,1,67.0,72.0,53,25.0,66,63,24,39.0,37,33,59,58.0,65,69,58,63,56,41,71,71,76,22,73,67,29,45,35,67,66,65,13,14,14,12,12,13,66,30,56,0,0,2,0,49,48,51,52,49,46,43,42,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,625,0,5.0,0,1,0,0,1.0,67.0
196,92,35,2016,7,1,73.0,73.0,34,34.0,81,66,38,35.0,37,40,59,54.0,33,30,22,74,28,63,29,69,87,39,78,74,19,27,44,71,77,75,8,14,10,9,14,11,74,39,52,0,0,2,0,61,45,67,67,69,50,36,34,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1225,1,0.0,0,0,0,1,0.6799999999999999,49.63999999999999
178,71,30,2016,24,4,65.0,65.0,34,67.0,63,52,46,66.0,31,31,33,67.0,71,72,71,59,70,65,71,71,74,57,33,11,65,52,64,17,25,12,8,10,10,13,8,10,16,61,51,0,0,0,0,48,48,47,47,53,60,46,46,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,900,0,0.0,0,0,1,0,0.88,57.2
191,91,27,2016,21,3,78.0,79.0,69,77.0,74,77,75,85.0,77,44,70,83.0,77,79,77,78,66,77,72,75,77,76,59,38,80,69,75,26,36,20,9,9,9,16,6,10,30,77,75,6,2,1,0,58,43,42,64,61,37,55,59,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,729,0,1.0,0,1,0,0,1.0,78.0
191,85,26,2015,3,0,66.0,68.0,55,59.0,64,64,62,69.0,65,43,62,73.0,53,49,60,65,47,70,39,72,80,59,41,57,67,68,53,61,63,49,13,9,7,10,11,10,58,65,67,0,0,0,0,51,36,63,48,53,52,43,45,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,676,0,2.0,0,1,0,0,1.0,66.0
183,81,23,2015,14,2,65.0,68.0,66,63.0,65,63,57,67.0,60,47,65,68.0,66,67,66,64,64,64,73,65,70,62,58,57,65,65,58,53,63,57,12,6,8,8,9,9,57,62,65,2,1,0,1,45,49,59,32,42,54,36,39,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,529,0,3.0,0,1,0,0,1.0,65.0
183,79,27,2016,32,4,66.0,68.0,33,67.0,64,59,62,66.0,43,32,33,64.0,67,76,78,64,57,68,58,67,72,59,36,14,65,63,61,20,12,17,10,10,7,7,12,9,16,66,55,0,0,0,0,58,53,44,54,53,53,38,48,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,729,0,2.0,0,1,0,0,1.0,66.0
185,80,30,2016,15,3,67.0,67.0,69,36.0,56,68,23,63.0,27,27,63,70.0,71,72,53,63,59,58,64,72,67,47,53,66,57,56,33,59,66,65,9,14,9,14,7,11,64,44,64,0,0,0,0,57,50,40,59,70,67,50,58,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,900,0,0.0,0,0,1,0,0.88,58.96
193,81,27,2016,9,2,70.0,72.0,70,63.0,57,66,46,68.0,33,32,60,67.0,89,88,68,61,65,62,65,74,72,50,60,60,73,55,52,72,72,70,12,14,12,9,8,11,69,61,62,0,0,0,0,54,42,51,47,52,32,44,58,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,729,0,2.0,0,1,0,0,1.0,70.0
170,66,23,2016,23,2,77.0,84.0,74,68.0,59,77,60,83.0,75,72,75,82.0,86,79,87,73,87,71,76,79,38,68,26,23,72,75,67,15,23,18,14,9,6,7,15,10,20,68,77,6,2,3,0,77,37,57,68,73,29,30,37,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,529,0,7.0,0,1,0,0,1.0,77.0
178,70,22,2016,11,3,78.0,85.0,80,48.0,67,73,41,76.0,67,23,67,77.0,85,86,78,74,74,59,74,79,71,47,73,72,56,55,42,73,80,80,12,11,6,11,10,10,76,51,68,0,1,1,0,67,41,36,41,34,44,39,41,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,484,0,7.0,0,1,0,0,1.0,78.0
188,84,24,2016,18,4,63.0,70.0,14,18.0,16,26,12,14.0,15,15,20,20.0,40,48,38,60,45,21,63,32,80,20,21,25,14,47,19,13,15,19,67,53,66,62,72,64,18,16,28,0,0,0,0,50,33,36,52,40,52,57,54,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,576,0,7.0,0,1,0,0,1.0,63.0
185,78,26,2016,15,3,79.0,81.0,55,83.0,74,71,80,75.0,74,51,49,77.0,76,79,75,84,64,85,78,69,74,76,73,40,80,59,75,21,33,33,6,8,15,12,6,9,32,82,64,7,3,4,0,69,69,36,37,69,53,39,46,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,676,0,2.0,0,1,0,0,1.0,79.0
180,75,31,2016,34,4,71.0,71.0,12,11.0,13,19,11,13.0,13,12,21,25.0,40,41,44,64,45,16,55,24,62,13,42,22,11,23,14,10,14,12,71,72,65,72,75,71,15,12,22,0,0,2,1,61,61,52,56,51,49,44,55,48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,961,1,0.0,0,0,1,0,0.84,59.64
183,80,22,2016,1,0,68.0,77.0,42,70.0,67,60,49,69.0,45,41,43,71.0,65,70,74,58,62,74,67,56,69,70,33,14,71,64,74,21,15,14,15,9,8,11,10,11,16,66,60,0,0,0,0,40,52,39,53,62,58,37,40,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,484,0,9.0,0,1,0,0,1.0,68.0
178,68,28,2015,22,3,78.0,79.0,86,72.0,52,80,66,81.0,82,80,81,79.0,78,76,74,75,76,79,66,72,62,77,63,43,76,77,59,17,24,28,12,7,8,6,10,9,28,73,79,3,8,3,0,46,46,39,50,60,36,49,57,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,784,0,1.0,0,0,1,0,0.96,74.88
180,68,26,2016,36,4,76.0,79.0,51,22.0,77,69,31,48.0,47,45,57,64.0,73,75,68,72,67,48,91,77,71,26,89,77,45,39,36,76,75,82,8,13,12,12,8,11,78,37,57,0,1,10,0,50,52,44,52,60,40,37,40,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,676,0,3.0,0,1,0,0,1.0,76.0
175,70,24,2016,16,2,69.0,74.0,63,59.0,57,71,61,76.0,70,61,74,73.0,78,69,73,72,73,67,49,63,44,62,48,54,51,74,58,52,62,49,9,8,15,8,6,9,54,60,73,0,0,0,0,65,59,43,53,44,53,42,42,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,576,0,5.0,0,1,0,0,1.0,69.0
188,73,20,2016,2,0,58.0,72.0,41,22.0,56,43,26,36.0,28,31,36,37.0,59,60,34,53,60,41,54,50,65,21,51,60,16,31,44,59,63,61,11,7,11,6,9,9,61,26,37,0,0,0,0,59,64,53,51,72,63,49,45,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,400,0,14.0,1,0,0,0,1.0,58.0
178,75,26,2016,12,2,76.0,78.0,69,22.0,75,70,28,48.0,55,37,59,68.0,76,75,57,70,61,54,79,73,76,28,72,78,37,53,45,76,79,78,12,7,10,15,7,10,78,35,62,0,0,5,0,50,57,46,61,41,63,52,60,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,676,0,2.0,0,1,0,0,1.0,76.0
183,90,26,2016,28,4,65.0,67.0,13,12.0,13,38,15,22.0,16,20,42,30.0,30,21,39,61,41,50,56,41,54,12,15,28,12,45,29,13,12,12,67,65,62,64,70,66,16,22,39,0,0,0,0,43,36,57,46,50,38,42,49,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,676,0,2.0,0,1,0,0,1.0,65.0
170,65,23,2016,2,0,71.0,78.0,59,63.0,46,74,46,77.0,63,62,68,76.0,80,76,83,67,87,64,63,67,48,59,44,51,65,75,55,40,50,45,6,10,12,14,7,10,47,60,73,0,0,0,0,55,35,55,62,65,39,25,56,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,529,0,7.0,0,1,0,0,1.0,71.0
183,71,24,2016,20,3,69.0,76.0,35,24.0,70,62,16,46.0,20,22,59,64.0,67,69,60,63,66,38,72,53,69,22,69,71,16,20,30,69,73,69,15,7,7,8,9,9,71,24,51,0,0,4,0,63,70,56,52,55,46,39,41,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,576,0,7.0,0,1,0,0,1.0,69.0
193,76,21,2016,11,3,64.0,74.0,49,66.0,71,65,59,51.0,53,46,52,58.0,62,64,56,53,52,71,64,62,75,68,60,23,68,49,61,21,25,24,10,16,15,8,9,12,23,66,56,3,1,2,0,48,40,43,43,58,39,44,41,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,441,0,10.0,1,0,0,0,1.0,64.0
178,76,29,2016,9,2,83.0,83.0,83,72.0,70,84,80,87.0,81,64,80,90.0,79,71,86,81,74,74,79,75,69,77,79,59,82,86,73,56,63,68,11,7,11,12,11,10,62,77,85,2,3,5,0,36,35,51,36,49,56,61,65,65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,841,0,0.0,0,0,1,0,0.92,76.36
168,66,24,2016,26,1,65.0,72.0,54,56.0,59,75,43,70.0,51,45,68,72.0,71,74,70,66,88,62,64,67,60,60,67,46,59,48,54,45,61,55,9,14,13,6,9,10,52,55,66,0,0,0,0,61,49,66,67,64,55,38,49,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,576,0,7.0,0,1,0,0,1.0,65.0
173,69,29,2016,26,2,79.0,79.0,86,68.0,58,81,74,78.0,89,90,79,80.0,78,77,87,79,90,78,67,94,63,80,79,76,73,78,71,70,71,65,15,9,11,15,8,12,70,73,79,4,10,6,0,56,55,63,68,66,58,63,47,73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,841,0,0.0,0,0,1,0,0.92,72.68
183,81,33,2016,11,3,76.0,76.0,66,39.0,74,75,50,65.0,53,53,74,73.0,59,64,59,72,71,76,75,73,81,75,84,81,67,68,62,73,79,75,12,11,12,8,5,10,77,58,73,0,0,4,0,69,69,36,37,69,53,39,46,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1089,1,0.0,0,0,0,1,0.76,57.76
185,82,33,2016,16,4,69.0,69.0,17,14.0,14,33,13,12.0,13,14,33,28.0,44,40,70,71,46,37,71,30,68,19,16,19,11,29,24,11,12,11,73,62,69,66,75,69,13,19,31,0,0,0,0,60,58,53,55,49,45,48,42,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1089,1,0.0,0,0,0,1,0.76,52.44
178,73,24,2016,3,0,64.0,69.0,63,33.0,53,62,42,57.0,47,51,58,59.0,68,67,69,62,67,60,56,65,60,53,68,63,60,61,35,66,66,65,15,7,10,8,6,9,65,49,60,0,0,0,0,62,45,52,42,50,62,45,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,576,0,5.0,0,1,0,0,1.0,64.0
175,69,29,2016,23,4,71.0,72.0,72,33.0,61,66,39,68.0,57,34,58,69.0,74,76,79,71,74,71,73,76,56,65,73,67,55,43,41,69,73,73,13,7,15,7,14,11,71,50,59,0,0,0,0,55,35,55,62,65,39,25,56,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,841,0,1.0,0,0,1,0,0.92,65.32000000000001
178,75,29,2015,37,4,71.0,71.0,72,45.0,61,68,32,69.0,67,68,64,67.0,79,78,73,61,71,48,81,79,68,46,51,65,63,62,67,71,73,72,14,16,13,6,7,11,70,47,65,3,5,2,0,47,36,47,49,45,47,48,50,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,841,0,0.0,0,0,1,0,0.92,65.32000000000001
178,69,28,2016,3,0,66.0,67.0,64,58.0,52,58,55,68.0,59,48,55,63.0,93,93,70,53,79,65,85,83,58,59,49,38,56,60,55,48,51,50,7,6,9,10,8,8,47,59,59,0,0,0,0,37,50,38,66,66,33,59,34,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,784,0,1.0,0,0,1,0,0.96,63.36
180,75,25,2016,16,2,63.0,66.0,59,22.0,50,64,39,62.0,53,27,58,65.0,69,67,65,59,69,51,61,68,65,20,68,59,45,51,35,63,66,65,10,11,13,6,7,9,63,39,60,0,0,0,0,52,46,50,57,55,32,48,45,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,625,0,3.0,0,1,0,0,1.0,63.0
180,78,31,2015,21,2,74.0,74.0,71,67.0,53,70,54,79.0,73,61,61,81.0,78,79,77,82,65,81,63,74,69,61,68,39,77,61,50,31,35,39,11,6,16,12,6,10,36,70,68,1,2,10,0,59,49,37,59,43,53,58,49,58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,961,1,0.0,0,0,1,0,0.84,62.16
175,75,33,2015,35,4,61.0,61.0,50,35.0,59,39,46,50.0,46,48,39,56.0,72,69,57,68,65,46,83,71,71,42,74,62,41,57,45,68,58,55,6,12,10,11,5,9,61,42,48,0,0,0,0,47,41,54,54,63,64,47,44,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1089,1,0.0,0,0,0,1,0.76,46.36
183,83,26,2016,1,0,57.0,61.0,18,20.0,15,30,19,19.0,11,12,17,23.0,49,46,34,47,51,25,52,41,57,17,22,20,15,24,24,17,13,16,65,51,55,54,65,58,17,20,24,0,0,0,0,47,47,48,32,61,65,50,44,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,676,0,4.0,0,1,0,0,1.0,57.0
175,73,29,2016,14,3,71.0,71.0,68,54.0,62,67,67,67.0,69,67,64,69.0,80,78,79,70,75,77,81,73,62,71,73,68,66,66,59,70,72,74,13,12,11,6,15,11,71,66,67,0,0,0,0,54,45,62,55,58,60,45,54,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,841,0,0.0,0,0,1,0,0.92,65.32000000000001
193,90,25,2016,18,3,69.0,74.0,50,26.0,68,61,43,53.0,42,32,57,57.0,40,50,34,61,33,68,52,50,90,59,69,64,41,37,51,69,73,68,12,14,8,6,12,10,69,45,53,0,0,0,0,66,47,44,58,65,54,39,48,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,625,0,5.0,0,1,0,0,1.0,69.0
183,78,30,2016,20,4,77.0,77.0,67,63.0,67,75,71,65.0,74,71,72,74.0,64,60,64,80,64,79,78,79,77,81,88,82,67,69,79,74,82,79,8,12,6,12,8,9,79,70,73,1,3,8,0,69,49,53,66,62,59,63,61,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,900,0,0.0,0,0,1,0,0.88,67.76
185,80,31,2016,35,4,73.0,73.0,73,25.0,73,74,26,65.0,32,23,68,73.0,58,64,58,64,61,41,67,70,80,26,76,73,51,55,24,75,77,75,11,10,9,11,7,10,75,36,67,2,0,2,1,54,43,65,48,49,45,53,56,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,961,1,0.0,0,0,1,0,0.84,61.32
173,67,25,2016,23,4,77.0,81.0,77,57.0,65,75,68,76.0,66,68,69,76.0,79,78,76,76,83,84,73,87,64,78,77,76,71,64,60,76,77,80,11,14,12,12,11,12,77,70,71,0,2,3,0,52,31,46,42,54,30,50,65,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,625,0,4.0,0,1,0,0,1.0,77.0
